
genres,href,id,name,popularity,type,followers.total
"['metalcore', 'pixie', 'pop emo', 'post-screamo']",https://api.spotify.com/v1/artists/4ZznAOb4aE3va5Jz1iDpjc,4ZznAOb4aE3va5Jz1iDpjc,Conquer Divide,48,artist,53209
['connecticut hardcore'],https://api.spotify.com/v1/artists/2Ebg59yDSsBJbbBqPmwsAP,2Ebg59yDSsBJbbBqPmwsAP,Atonement,0,artist,240
"['ethereal wave', 'medieval folk', 'neoclassical darkwave', 'rune folk']",https://api.spotify.com/v1/artists/0wUUKwtuCvOtk9GklaUMj2,0wUUKwtuCvOtk9GklaUMj2,Artesia,39,artist,14142
"['austrian metal', 'gothic metal', 'gothic symphonic metal', 'melodic metal', 'neo classical metal', 'power metal', 'symphonic metal', 'symphonic power metal']",https://api.spotify.com/v1/artists/5kanN1nKzrkW1m2gZmo82x,5kanN1nKzrkW1m2gZmo82x,Visions of Atlantis,46,artist,81251
"['progressive technical death metal', 'technical death metal', 'technical melodic death metal']",https://api.spotify.com/v1/artists/2yQwuvF6qxv98dqMrZ8iTm,2yQwuvF6qxv98dqMrZ8iTm,Atlantis Chronicles,33,artist,8611
"['metalcore', 'post-screamo']",https://api.spotify.com/v1/artists/6YLWRVTViX4bm2mGxRy9XN,6YLWRVTViX4bm2mGxRy9XN,Breathe Atlantis,42,artist,10988
"['british alternative rock', 'modern alternative rock', 'modern rock']",https://api.spotify.com/v1/artists/1kF0gYnHLUJvFuPdoowO02,1kF0gYnHLUJvFuPdoowO02,Lower Than Atlantis,47,artist,111101
['chill r&b'],https://api.spotify.com/v1/artists/1OIwR0QnsHzPZrC1pTN1UO,1OIwR0QnsHzPZrC1pTN1UO,Dylan Atlantis,18,artist,466
['post-post-hardcore'],https://api.spotify.com/v1/artists/6jWjG1qqPEzvA7w1wxymf3,6jWjG1qqPEzvA7w1wxymf3,From Atlantis,13,artist,6517
['dissonant death metal'],https://api.spotify.com/v1/artists/5YksM5fILg5LIjctxBfSrX,5YksM5fILg5LIjctxBfSrX,Vertebra Atlantis,10,artist,802
"['bubblegum dance', 'candy pop', 'dance pop', 'europop', 'girl group']",https://api.spotify.com/v1/artists/6JMHws5haIO6V35YNYDnDw,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,63,artist,364287
"['dembow', 'dominican pop', 'rap dominicano', 'trap latino', 'urbano espanol']",https://api.spotify.com/v1/artists/05i5DIXDf4Ai4NEPEi3uBZ,05i5DIXDf4Ai4NEPEi3uBZ,Atomic Otro Way,63,artist,105887
['minneapolis indie'],https://api.spotify.com/v1/artists/0FnrtDOnCbJSgbBgQTjfgQ,0FnrtDOnCbJSgbBgQTjfgQ,Atomic Cafe,32,artist,2099
"['art rock', 'blues rock', 'british blues', 'german rock', 'hard rock', 'progressive rock', 'proto-metal', 'psychedelic blues-rock', 'psychedelic rock', 'symphonic rock']",https://api.spotify.com/v1/artists/6Ix7Hx8Af0jg9X4OfD9sYR,6Ix7Hx8Af0jg9X4OfD9sYR,Atomic Rooster,33,artist,55013
"['aesthetic rap', 'meme rap', 'sad lo-fi']",https://api.spotify.com/v1/artists/75RLThQWzIgIM7Jtp6KZic,75RLThQWzIgIM7Jtp6KZic,$atori Zoom,66,artist,68692
"['detroit rock', 'swing', 'swing revival']",https://api.spotify.com/v1/artists/3gv1hh37jyGKfyAjFvv7No,3gv1hh37jyGKfyAjFvv7No,The Atomic Fireballs,35,artist,13186
"['modern blues rock', 'psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']",https://api.spotify.com/v1/artists/4TnftWQx6fF7k4Nviu7Nn6,4TnftWQx6fF7k4Nviu7Nn6,The Atomic Bitchwax,37,artist,46855
"['instrumental surf', 'surf music']",https://api.spotify.com/v1/artists/6Zjd2ECuBg8bVcwQ0NJ21W,6Zjd2ECuBg8bVcwQ0NJ21W,Atomic Mosquitos,19,artist,3473
['norwegian contemporary jazz'],https://api.spotify.com/v1/artists/5MaqvdfplsuBzHTHrBxjr6,5MaqvdfplsuBzHTHrBxjr6,Atomic,19,artist,1154
['full on'],https://api.spotify.com/v1/artists/6doAJmQHlyJKfoJZtFJW8U,6doAJmQHlyJKfoJZtFJW8U,Atomic Pulse,27,artist,4564
['french reggae'],https://api.spotify.com/v1/artists/5BsYLvkf6dJTpfwXAcin0i,5BsYLvkf6dJTpfwXAcin0i,Atomic Spliff,32,artist,5955
"['chilean metal', 'lovecraftian metal']",https://api.spotify.com/v1/artists/2ZDH8Y5Kt2EIIpz6xvQh88,2ZDH8Y5Kt2EIIpz6xvQh88,Atomic Aggressor,12,artist,4247
['german death metal'],https://api.spotify.com/v1/artists/35BDie84XyB1qcg9hq4Wif,35BDie84XyB1qcg9hq4Wif,Atomwinter,4,artist,1558
"['metalcore', 'pixie', 'pop emo', 'post-screamo']",https://api.spotify.com/v1/artists/4ZznAOb4aE3va5Jz1iDpjc,4ZznAOb4aE3va5Jz1iDpjc,Conquer Divide,48,artist,53245
"['ethereal wave', 'medieval folk', 'neoclassical darkwave', 'rune folk']",https://api.spotify.com/v1/artists/0wUUKwtuCvOtk9GklaUMj2,0wUUKwtuCvOtk9GklaUMj2,Artesia,40,artist,14153
['symphonic melodic death metal'],https://api.spotify.com/v1/artists/7vQmrGUUZlbNkjecfGuo61,7vQmrGUUZlbNkjecfGuo61,Ghosts Of Atlantis,11,artist,1518
